smp_names,X_tsne001of002,X_tsne002of002,X_diffmap001of009,X_diffmap002of009,X_diffmap003of009,X_diffmap004of009,X_diffmap005of009,X_diffmap006of009,X_diffmap007of009,X_diffmap008of009,X_diffmap009of009,X_diffmap0,louvain_groups,aga_pseudotime,aga_groups
0,-15.35312326698923,-5.270447356811915,0.03768864646553993,-0.0028802831657230854,0.0782155990600586,0.05139119550585747,0.0715561956167221,-0.08143043518066406,0.08391863107681274,-0.049291543662548065,0.03889312222599983,0.04387287795543671,1,0.0,8
1,-15.084724256217175,-4.633932296921,0.037525203078985214,-0.0028684958815574646,0.07793522626161575,0.0512089841067791,0.07139516621828079,-0.0814104750752449,0.08391883224248886,-0.049369655549526215,0.03901730105280876,0.04367321357131004,1,0.0018440710846334696,8
2,-14.646055017977966,-4.25931761573778,0.03659142926335335,-0.0027946403715759516,0.07572068274021149,0.04974471777677536,0.06892071664333344,-0.07778611779212952,0.08007020503282547,-0.04671858996152878,0.03658290579915047,0.04262765496969223,1,0.013519910164177418,8
3,-13.92750434750004,-3.973650541528617,0.03559887409210205,-0.0027144411578774452,0.07313986867666245,0.04803178086876869,0.06572689116001129,-0.07266717404127121,0.07458563894033432,-0.0427987165749073,0.03288045525550842,0.041549645364284515,1,0.0265978891402483,8
4,-13.496167351721786,-3.470913403772008,0.03473272919654846,-0.0026421090587973595,0.07063694298267365,0.04636388644576073,0.062313977628946304,-0.06680575013160706,0.06827034056186676,-0.03816809877753258,0.028435496613383293,0.04064711555838585,1,0.03876623883843422,8
5,-13.009510957591594,-2.940761314738086,0.03403565287590027,-0.0025768124032765627,0.0682615339756012,0.044771261513233185,0.058633603155612946,-0.06004975363612175,0.06098306551575661,-0.032660145312547684,0.023108573630452156,0.03998482972383499,1,0.04974425956606865,8
6,-12.574583059072554,-2.2805805072670204,0.033444471657276154,-0.0025126859545707703,0.06578230857849121,0.04309873655438423,0.054329730570316315,-0.051786404103040695,0.052067987620830536,-0.025819234549999237,0.016497643664479256,0.039505328983068466,1,0.060706377029418945,8
7,-12.105552151622426,-1.650554591042142,0.03296239674091339,-0.0024398467503488064,0.06341040879487991,0.04148827865719795,0.049801480025053024,-0.042993709444999695,0.04269060865044594,-0.018422285094857216,0.009468168020248413,0.03921075910329819,1,0.0711173415184021,8
8,-11.552301662868002,-1.1395508956366793,0.03238070011138916,-0.00233199424110353,0.06054345518350601,0.03953591361641884,0.04416326805949211,-0.03225449472665787,0.031400009989738464,-0.009352843277156353,0.0010580426314845681,0.0389057993888855,1,0.083986297249794,8
9,-11.04151361018293,-0.4647602620008009,0.03187062218785286,-0.002184830605983734,0.05814078822731972,0.03788477182388306,0.038970183581113815,-0.02267345041036606,0.021723465994000435,-0.0009319030796177685,-0.006428223568946123,0.03875212371349335,1,0.095359206199646,8
