smp_names,X_tsne001of002,X_tsne002of002,X_draw_graph_fr001of002,X_draw_graph_fr002of002,louvain_groups,X_diffmap001of009,X_diffmap002of009,X_diffmap003of009,X_diffmap004of009,X_diffmap005of009,X_diffmap006of009,X_diffmap007of009,X_diffmap008of009,X_diffmap009of009,X_diffmap0,aga_pseudotime,aga_groups
0,-28.360797016654132,-0.8572016699153442,382.96094636437897,526.2079881605588,5,-0.014710490591824055,0.03603921830654144,-0.03847881406545639,0.004781664814800024,-0.08855582773685455,-0.018263226374983788,-0.07161130756139755,0.05556277930736542,0.10770272463560104,-0.020205020904541016,0.0,10
1,-27.950340924961164,-1.0001810741777843,375.3946063184697,525.2761036986245,5,-0.01464030984789133,0.03586728870868683,-0.038303475826978683,0.004761083051562309,-0.08822201192378998,-0.01819716952741146,-0.0714295282959938,0.05554080381989479,0.10770578682422638,-0.020108630880713463,0.0019370107911527157,10
2,-27.488289330088016,-1.1682398438326806,401.349165693496,517.6878159942428,5,-0.014278177171945572,0.034980107098817825,-0.03732237592339516,0.004635273944586515,-0.08564943075180054,-0.017654497176408768,-0.0689578428864479,0.05306476727128029,0.10266678780317307,-0.019611241295933723,0.013742318376898766,10
3,-27.02340968097784,-1.3891286734932247,390.84157506901465,503.4772433263424,5,-0.013902975246310234,0.034060899168252945,-0.03627687692642212,0.004498203285038471,-0.0826457142829895,-0.01701219752430916,-0.06579415500164032,0.0495748445391655,0.09545984119176865,-0.019095897674560547,0.02687687985599041,10
4,-26.568175248493535,-1.6084423539963522,374.17325719987406,492.70018468524336,5,-0.01360244955867529,0.03332464024424553,-0.035404469817876816,0.004380108788609505,-0.07983700931072235,-0.016402412205934525,-0.06254381686449051,0.04568951576948166,0.08735259622335434,-0.018683122470974922,0.0384904146194458,10
5,-26.03377979631448,-1.892756393129167,381.76738998168463,484.5977109700075,5,-0.01336932834237814,0.03275349363684654,-0.03467258810997009,0.004271309357136488,-0.0771193876862526,-0.015800656750798225,-0.05904117971658707,0.04121153801679611,0.07799644768238068,-0.01836291514337063,0.049105703830718994,10
6,-25.454189396012463,-2.199797866507458,377.82401160365805,472.0686099062033,5,-0.013203591108322144,0.032347433269023895,-0.03405772149562836,0.004164054058492184,-0.07427768409252167,-0.015155541710555553,-0.05490236356854439,0.035601839423179626,0.06628505140542984,-0.01813526265323162,0.05947849527001381,10
7,-24.884011008004126,-2.580735861956469,388.52208296149934,459.5533425160619,5,-0.013095248490571976,0.0320819653570652,-0.033524710685014725,0.004043129272758961,-0.07138051092624664,-0.014482342638075352,-0.050259798765182495,0.029184982180595398,0.05308866500854492,-0.01798643171787262,0.06982389837503433,10
8,-24.30943980113737,-2.9914625414751597,385.8953027556886,433.8006396248323,5,-0.012976892292499542,0.031791992485523224,-0.03287622705101967,0.003861776553094387,-0.06823145598173141,-0.013740570284426212,-0.04501735046505928,0.022112885490059853,0.03906264901161194,-0.01782386004924774,0.08179982751607895,10
9,-23.7979702716361,-3.442833129429859,386.5092213204521,410.280330602183,5,-0.012902738526463509,0.03161030262708664,-0.03227251023054123,0.00363501557148993,-0.06552891433238983,-0.013083371333777905,-0.040052253752946854,0.015538469888269901,0.0267165657132864,-0.0177219957113266,0.09274189919233322,10
